sample	fraction	reads	molecules	reads_discarded	reads_excluded	spliced_reads	spliced_molecules	ambiguous_reads	ambiguous_molecules	unspliced_reads	unspliced_molecules	total_reads	total_molecules	downsampled_frac	saturation	target_saturation	nb_lib_molecules	nb_lib_recovery
pbmc_1k_protein_v3	0.04636677923934226	1547964	1394275	1331	0	281752	245321	777359	708313	488853	440641	1547964	1394275	0.046317922546724434	9.928460868599018	10.0	1393438.058990445	14.251497541332213
pbmc_1k_protein_v3	0.09674771153169963	3230512	2616905	4755	0	622798	473956	1588925	1314961	1018789	827988	3230512	2616905	0.0967219582609984	18.994109911989185	19.064785183716083	2615512.5768338945	26.750360963355348
pbmc_1k_protein_v3	0.15793327212735225	5267821	3789342	10229	0	1071658	706557	2531786	1880788	1664377	1201997	5267821	3789342	0.15779326151426223	28.06623459680958	28.129570367432166	3789145.1282390803	38.75378035674879
pbmc_1k_protein_v3	0.2342578160932893	7815246	4912227	17477	0	1676843	946362	3669275	2404266	2469128	1561599	7815246	4912227	0.23416809403241284	37.14558697192641	37.19435555114825	4913466.874126316	50.252869601366676
pbmc_1k_protein_v3	0.33286020859650867	11101391	5970581	28067	0	2505542	1189509	5082966	2877110	3512883	1903962	11101391	5970581	0.33272770752569564	46.21772172514237	46.25914073486433	5974624.808317727	61.10594598500643
pbmc_1k_protein_v3	0.4664612192114162	15559049	6966999	43054	0	3695203	1440421	6933905	3296690	4929941	2229888	15559049	6966999	0.46644247759143154	55.222205418853044	55.323925918580414	6962858.2871036455	71.21318175505816
pbmc_1k_protein_v3	0.6603250924711441	22027627	7905029	64010	0	5501326	1698848	9535211	3666358	6991090	2539823	22027627	7905029	0.6604544205566737	64.11311577048222	64.3887111022965	7859274.103148362	80.38134514484554
pbmc_1k_protein_v3	1.0	33348659	8852903	100488	0	8790061	1984471	13960276	4009045	10598322	2859387	33348659	8852903	1.0	73.45349628601258	73.45349628601258	8682437.143735936	88.80031000184731
